num,score,Color,Light,Composition,color_feature,light_feature,composition_feature
71.jpg,0.46875,0.515625,0.515625,0.479166667,"[1.0, 0.2621359223300971, 0.0947265625, 0.13157894736842105, 0.09470703125, 0.35, 0.1]","[0.5927639805922369, 0.19842162442935687, 0.7203549708946079, 0.14736634268059517]","[0.678810876108536, 0.710034744888882, 0, 0, 0, 0, 0, 0, 0, 0]"
106.jpg,0.565714286,0.601904762,0.601904762,0.597142858,"[1.0, 0.1796116504854369, 0.275068359375, 0.18947368421052632, 0.22861002604166666, 0.7, 0.1]","[0.2500104208350007, 0.23289145484639406, 0.34447869434232026, 0.2631349084483177]","[0.677276284758131, 0.708152053057658, 0.267765368, 0.426575505, 0, 0.656160774, 0, 0, 0, 0]"
283.jpg,0.721875,0.7203125,0.7203125,0.709895834,"[1.0, 0.06310679611650485, 0.6808203125, 0.07631578947368421, 0.2813899739583333, 0.25, 0.4]","[0.11873541083099907, 0.19801571219184613, 0.19135169015522877, 0.3039220011484852]","[0.672451723039524, 0.689515732918378, 0, 0, 0, 0.228360966, 0, 0, 0, 0.909375]"
376.jpg,0.596666667,0.603888889,0.603888889,0.620555556,"[1.0, 0.38349514563106796, 0.09330403645833334, 0.3394736842105263, 0.11467122395833333, 0.5, 0.7]","[0.4903509390333315, 0.24788081950488233, 0.5896958614174836, 0.27857316335952653]","[0.524727862317615, 0.592754011348434, 0.764916234, 0, 0, 0, 0, 0, 1, 0]"
449.jpg,0.622580645,0.62311828,0.62311828,0.633870968,"[1.0, 0.10194174757281553, 0.6026953125, 0.06578947368421052, 0.5264290364583334, 0.15, 0.1]","[0.2190124875453537, 0.2826160928725604, 0.2429323682598039, 0.30958875291386406]","[0.542416173353927, 0.557291707141958, 0, 0, 0, 0.17784067, 0, 0, 0, 0.990625]"
521.jpg,0.644444444,0.646296296,0.646296296,0.627777778,"[1.0, 0.15048543689320387, 0.20298828125, 0.06842105263157895, 0.238623046875, 0.1, 0.1]","[0.6938768963961424, 0.13192094282592495, 0.8409373723447713, 0.10610293269110999]","[0.544482638090918, 0.552713902841232, 0, 0, 0, 0, 0, 0, 0, 0]"
759.jpg,0.575,0.558333334,0.558333334,0.626041667,"[0.0, 0.03398058252427184, 0.4684016927083333, 0.018421052631578946, 0.4684016927083333, 0.0, 0.0]","[0.36256335867680406, 0.2300684233985075, 0.36273745149101305, 0.23067307533369608]","[0.666934892017792, 0.667738921607692, 0.733402223, 0, 0, 0.787739065, 0, 0, 0, 0]"
841.jpg,0.6125,0.61875,0.61875,0.623958334,"[0.5, 0.08737864077669903, 0.217421875, 0.04736842105263158, 0.19937825520833333, 0.0, 0.0]","[0.4256700596905429, 0.12670123872543482, 0.45373279207516337, 0.1331607391621559]","[0.677939042187374, 0.710684210007794, 0, 0, 0, 0, 0, 0, 0, 0]"
843.jpg,0.713333333,0.723333333,0.723333333,0.728888889,"[0.5, 0.1553398058252427, 0.20564127604166665, 0.24736842105263157, 0.07462239583333333, 0.1, 0.1]","[0.4932645975056689, 0.18545465722864188, 0.5151361570669934, 0.19020959661020695]","[0.675784708040717, 0.702429037806222, 0.60033166, 0, 0, 0, 0, 0, 0, 0.921875]"
862.jpg,0.697222222,0.695833333,0.695833333,0.700462963,"[1.0, 0.06310679611650485, 0.5416178385416667, 0.021052631578947368, 0.8450553385416667, 0.1, 1.0]","[0.536200486906172, 0.11261442959647217, 0.7148069087009804, 0.08271860779575475]","[0.527399584037839, 0.599692307419188, 0, 0.52327481, 0, 0, 0, 0, 0, 0]"
1313.jpg,0.437142857,0.485238095,0.485238095,0.398058608,"[1.0, 0.2669902912621359, 0.080966796875, 0.23684210526315788, 0.07638020833333334, 0.45, 0.6]","[0.39856004901960784, 0.19459236950156478, 0.487187806372549, 0.23611489851752981]","[0.676021219268207, 0.703338767785596, 0.515285486, 0, 0, 0, 0, 0, 0, 0]"
1339.jpg,0.715151515,0.751515152,0.751515152,0.716161616,"[1.0, 0.28640776699029125, 0.08671875, 0.1394736842105263, 0.11091145833333334, 0.15, 0.1]","[0.5562143607442976, 0.20915289512689111, 0.766580282373366, 0.2055670198041979]","[0.680892604197, 0.703002104400242, 0, 0, 0, 0, 0, 0, 0, 0]"
1351.jpg,0.397297297,0.387837838,0.387837838,0.393843844,"[0.0, 0.019417475728155338, 0.358056640625, 0.010526315789473684, 0.358056640625, 0.0, 0.0]","[0.5464403210948809, 0.107552922593686, 0.5468525199142157, 0.10796670306293794]","[0.532370620740969, 0.58363725831547, 0, 0, 0, 0.548879724, 0, 0, 0, 0]"
1493.jpg,0.719354839,0.676881721,0.676881721,0.687634409,"[0.5, 0.09223300970873786, 0.45447265625, 0.13421052631578947, 0.13592122395833334, 0.1, 0.1]","[0.7917412798452714, 0.21136702789353773, 0.8071577435661764, 0.20718415936603363]","[0.674925005217639, 0.699114952878844, 0, 0, 0, 0.033857883, 0, 0, 0, 0.890625]"
1621.jpg,0.693333333,0.674444445,0.674444445,0.713333333,"[1.0, 0.2815533980582524, 0.11940866510538642, 0.24736842105263157, 0.1759038348946136, 0.55, 1.0]","[0.5021118477331052, 0.3152669394127019, 0.5509085560453689, 0.3230152367742095]","[0.47168941731808, 0.544467396113988, 0.394889859, 0.585831945, 0, 0, 0, 0, 0, 0.98984375]"
1677.jpg,0.626666667,0.652222223,0.652222223,0.646666667,"[1.0, 0.17475728155339806, 0.320029296875, 0.35, 0.09069661458333333, 0.6, 0.2]","[0.2020858343337335, 0.18940580688779504, 0.2772435023488562, 0.24548742400747822]","[0.67891773358277, 0.709645815372082, 0.335228734, 0, 0, 0, 0, 0, 0, 0.93279837]"
1744.jpg,0.6425,0.617083334,0.617083334,0.679583334,"[0.5, 0.0970873786407767, 0.3923302107728337, 0.06842105263157895, 0.09793252341920375, 0.2, 0.1]","[0.24733089181618592, 0.2495339874119904, 0.27043044266887084, 0.2548548411276482]","[0.675939307733321, 0.7025435191817, 0, 0, 0, 0, 0, 0, 0, 0.883719949]"
1912.jpg,0.65625,0.671875,0.671875,0.703125,"[1.0, 0.1262135922330097, 0.21002278645833333, 0.10526315789473684, 0.24300130208333334, 0.2, 0.1]","[0.574418509014344, 0.18925080832118413, 0.6309481081495099, 0.19769573511101965]","[0.539210682407588, 0.564923999104146, 0, 0.577478418, 0, 0, 0, 0, 0, 0]"
1930.jpg,0.687878788,0.662121212,0.662121212,0.702525253,"[1.0, 0.0970873786407767, 0.35501953125, 0.02894736842105263, 0.3476432291666667, 0.05, 0.1]","[0.6903879504822062, 0.2609266477997375, 0.7106920700571895, 0.25210488652544094]","[0.606653534974456, 0.500417573856084, 0, 0, 0, 0, 0, 0, 0, 0]"
2190.jpg,0.490909091,0.452525253,0.452525253,0.538383839,"[0.0, 0.038834951456310676, 0.20617513020833333, 0.021052631578947368, 0.20617513020833333, 0.0, 0.0]","[0.5612768597371834, 0.22839774836690158, 0.5611743132148693, 0.23046789738410112]","[0.513862779710212, 0.553371326946042, 0.2030289, 0, 0, 0, 0, 0, 0, 0]"
2206.jpg,0.584848485,0.52979798,0.52979798,0.600505051,"[0.0, 0.038834951456310676, 0.420888671875, 0.021052631578947368, 0.420888671875, 0.0, 0.0]","[0.34256660997732424, 0.30971137809411275, 0.34249448529411763, 0.3128585271117548]","[0.679319970217897, 0.708210454094932, 0, 0, 0, 0.27722385, 0, 0, 0, 0.910726067]"
2276.jpg,0.657142857,0.676190476,0.676190476,0.647619048,"[1.0, 0.3058252427184466, 0.075283203125, 0.14736842105263157, 0.132392578125, 0.35, 1.0]","[0.6725362124715658, 0.1977665708641293, 0.8257922666462418, 0.2363990484935259]","[0.528703504366961, 0.595253193466242, 0, 0.811853418, 0, 0, 0, 0, 0, 0.965625]"
2303.jpg,0.624242424,0.635353535,0.635353535,0.62020202,"[1.0, 0.18932038834951456, 0.134833984375, 0.21842105263157896, 0.10728841145833333, 0.25, 0.9]","[0.4604575163398693, 0.2511236008737493, 0.5208681832107843, 0.24463427401518942]","[0.677947499369598, 0.71071647952797, 0.1167766, 0.748275781, 0, 0, 0, 0, 0, 0]"
2369.jpg,0.667647059,0.686764706,0.686764706,0.662254902,"[1.0, 0.23300970873786409, 0.11255854800936768, 0.24473684210526317, 0.13913568501170961, 0.45, 0.9]","[0.5110417139828904, 0.27501144604867644, 0.5710629333700693, 0.29198127032247373]","[0.673965329495087, 0.695401846497658, 0.330384665, 0, 0, 0, 0, 0, 0, 0]"
2370.jpg,0.7375,0.717708334,0.717708334,0.728125,"[1.0, 0.23300970873786409, 0.18921984777517564, 0.2710526315789474, 0.15578161592505854, 0.65, 0.1]","[0.5126462071315012, 0.3066504205243492, 0.5766339917114387, 0.3218704763762276]","[0.677296514832109, 0.697692214219822, 0.236728563, 0.039261911, 0, 0, 0, 0, 0, 0]"
2659.jpg,0.614285714,0.630952381,0.630952381,0.583333333,"[1.0, 0.24271844660194175, 0.26239583333333333, 0.6526315789473685, 0.058746744791666666, 0.65, 0.7]","[0.36896216820061356, 0.2808420356718348, 0.40223551113153594, 0.3007789585109347]","[0.674221343840372, 0.69639381719422, 0.1376159, 0, 0, 0.426062566, 0, 0, 0, 0]"
